source_node,target_node,source_longitude,source_latitude,source_magnitude,target_longitude,target_latitude,target_magnitude,distance_km,time_gap_days
15,58,-168.066,52.1314,2.8,-168.17,52.233,2.7,13.338244,6.5311065e-07
12,52,-168.327,52.299,4.8,-167.989,52.255,2.6,23.510191,6.527794e-07
10,47,-168.2331,52.1187,2.9,-168.154,52.086,2.8,6.512288,6.5273895e-07
11,48,-168.294,52.251,4.7,-168.298,52.192,2.6,6.5661564,6.518427e-07
14,57,-168.11,52.131,3.3,-168.103,52.1712,2.8,4.495477,6.514982e-07
16,61,-168.0864,52.2636,2.7,-168.475,52.392,4.8,30.020134,6.514589e-07
5,44,-168.0153,52.2873,2.8,-168.424,52.288,5.2,27.798893,6.5135504e-07
11,47,-168.294,52.251,4.7,-168.154,52.086,2.8,20.682928,6.509983e-07
13,53,-168.0588,52.1124,2.9,-168.293,52.26,5.2,22.897251,6.5094025e-07
10,46,-168.2331,52.1187,2.9,-168.338,52.318,4.3,23.284855,6.508306e-07
3,42,-168.1284,52.145,3.0,-167.985,52.107,3.0,10.662273,6.507792e-07
4,42,-168.1641,52.2193,3.1,-167.985,52.107,3.0,17.468954,6.504046e-07
5,43,-168.0153,52.2873,2.8,-168.383,52.267,5.6,25.117628,6.50403e-07
6,44,-167.97,52.277,3.5,-168.424,52.288,5.2,30.907772,6.5031213e-07
7,44,-168.139,52.392,4.5,-168.424,52.288,5.2,22.552671,6.501904e-07
8,45,-167.9895,52.28,3.0,-168.381,52.385,4.5,29.051289,6.498001e-07
17,61,-168.0734,52.3923,2.5,-168.475,52.392,4.8,27.251404,6.493662e-07
6,43,-167.97,52.277,3.5,-168.383,52.267,5.6,28.12317,6.493602e-07
7,43,-168.139,52.392,4.5,-168.383,52.267,5.6,21.63582,6.492384e-07
19,62,-168.0041,52.2865,3.1,-168.185,52.166,2.9,18.203033,6.491292e-07
11,46,-168.294,52.251,4.7,-168.338,52.318,4.3,8.028785,6.4908994e-07
15,57,-168.066,52.1314,2.8,-168.103,52.1712,2.8,5.094911,6.488782e-07
9,45,-168.019,52.351,3.5,-168.381,52.385,4.5,24.866762,6.485118e-07
12,51,-168.327,52.299,4.8,-168.336,52.24,5.4,6.589022,6.4802117e-07
