trial_index,model,epoch,train_loss,val_threshold,val_precision,val_recall,val_f1,val_accuracy,val_balanced_accuracy,val_auc_roc,val_tpr_at_20_fpr,val_actual_fpr_at_selected_roc_point,val_roc_threshold_at_20_fpr
18,GAT,1,0.25688865438103675,0.2,0.1665719158612848,0.8347578347578347,0.2777251184834123,0.238,0.47286709203022115,0.42856673905794584,0.13105413105413105,0.2031534263189812,0.9464879035949707
18,GAT,2,0.19700878545641898,0.4,0.2009309542280838,0.7378917378917379,0.31585365853658537,0.439,0.5566353777390769,0.525426788919815,0.21367521367521367,0.20194057004244997,0.9941726326942444
18,GAT,3,0.17132728478312492,0.7,0.224910394265233,0.7150997150997151,0.3421949556918882,0.5175,0.5952696877499788,0.5697115924526477,0.28205128205128205,0.20375985445724681,0.9992517828941345
18,GAT,4,0.15242302234470845,0.2,0.20678513731825526,0.7293447293447294,0.3222152297042165,0.4615,0.5669161487839475,0.5628076413400852,0.2849002849002849,0.20072771376591875,0.9991104006767273
18,GAT,5,0.14497134268283843,0.35,0.2250778816199377,0.8233618233618234,0.3535168195718654,0.4715,0.6099829128937679,0.579804042508712,0.2792022792022792,0.20072771376591875,0.9995911717414856
18,GAT,6,0.1278102188333869,0.4,0.21777777777777776,0.698005698005698,0.3319783197831978,0.507,0.5821744681659782,0.5579354836480367,0.2792022792022792,0.20012128562765313,0.9987439513206482
19,GAT,1,0.25681074967980383,0.5,0.2847457627118644,0.47863247863247865,0.357066950053135,0.6975,0.6113599021421945,0.5781938116686449,0.36752136752136755,0.20072771376591875,0.5790435671806335
19,GAT,2,0.21004071217775344,0.75,0.30434782608695654,0.39886039886039887,0.34525277435265106,0.7345,0.602401697307701,0.5398264337015095,0.4017094017094017,0.1952698605215282,0.7479954957962036
19,GAT,3,0.18906740206480027,0.05,0.1654564315352697,0.9088319088319088,0.27994734532689775,0.1795,0.4665445171812667,0.46013210112664327,0.301994301994302,0.19163129169193452,0.17838549613952637
20,GAT,1,0.2843002716898918,0.15,0.17900905700586042,0.9518413597733711,0.30134529147982064,0.221,0.5081004005909965,0.5315527760147646,0.3002832861189802,0.201578627808136,0.9294439554214478
20,GAT,2,0.2138733068406582,0.9,0.28201634877384196,0.5864022662889519,0.38086476540938363,0.6635,0.6332132764353078,0.5804948821017181,0.3059490084985836,0.19914996964177292,0.982016384601593
20,GAT,3,0.1828508490920067,0.9,0.20664869721473494,0.6515580736543909,0.31377899045020463,0.497,0.55771589171487,0.5770539963638929,0.3342776203966006,0.19672131147540983,0.9990204572677612
20,GAT,4,0.16460894185304642,0.9,0.20676691729323307,0.623229461756374,0.310515172900494,0.5115,0.5553912943268815,0.5624029267738923,0.32011331444759206,0.20097146326654525,0.9984853863716125
1,LSTM,1,0.5992338880923437,0.3,0.21810894814330117,0.983259587020649,0.35702235908421476,0.23321092128372983,0.5046010590493504,0.5218393685981078,0.22131268436578172,0.20002037905033626,0.47330349683761597
1,LSTM,2,0.5944173046926106,0.25,0.21724511404600638,0.9910766961651918,0.3563728934912027,0.2249241577518761,0.5021411603915423,0.5258449318083311,0.2258849557522124,0.20002037905033626,0.45501285791397095
1,LSTM,3,0.5929786691457581,0.3,0.21736953466961703,0.9924778761061946,0.35663084811787,0.22470062270477406,0.5025054960314955,0.5276609125907064,0.2290560471976401,0.19993886284899123,0.47461074590682983
2,LSTM,1,0.5971275866569012,0.05,0.21650060675736094,1.0,0.3559399897620329,0.21650060675736094,0.5,0.5202479302453712,0.2216977653219264,0.19998369642747968,0.4568061828613281
2,LSTM,2,0.5921711306515215,0.25,0.2201057657750167,0.9485212773803378,0.35729962494790946,0.2612250111771093,0.5099145138455623,0.5353548535791155,0.2340143078398112,0.19990217856487802,0.4121952950954437
2,LSTM,3,0.5904546825197085,0.2,0.21689062575075677,0.9987462202227303,0.3563871782725407,0.21900747269591875,0.5011461236229509,0.529799999525346,0.23342429382697838,0.19996331696182926,0.41630953550338745
2,LSTM,4,0.5891174795693798,0.25,0.2203680005533843,0.9398185706910539,0.35702178328780554,0.26711694449766876,0.5105255603867954,0.5355582258866376,0.24057821373257615,0.20008559375573173,0.43767932057380676
3,LSTM,1,0.595943167563857,0.25,0.2165849294717168,0.9999262482483959,0.3560492659996323,0.2169067160604222,0.5002280679764816,0.5303233001455663,0.2340880595914153,0.1999714675851387,0.44557055830955505
3,LSTM,2,0.5908887555269915,0.25,0.21724560159824707,0.9944686186296925,0.35659222235445015,0.22302238686807396,0.5021561508784226,0.5376705630629761,0.24227450401947045,0.1999918478814682,0.44057852029800415
3,LSTM,3,0.5892294945159717,0.2,0.21695496737579556,0.9980824544582934,0.3564317319848293,0.21965317919075145,0.5013136302698868,0.5373572139401714,0.24485581532561398,0.2000122281777977,0.41695594787597656
3,LSTM,4,0.5879897895892776,0.2,0.2166658668074419,0.9988937237259385,0.3560930721703694,0.21786478459425798,0.5004658766794448,0.5335955221355037,0.24338078029353197,0.19993070699247967,0.4109303057193756
4,LSTM,1,0.5952633770845704,0.25,0.216508838887913,1.0,0.35595111513671746,0.21654637199795607,0.5000305710675417,0.5216230211475905,0.21839504351674288,0.20001630456935557,0.44601038098335266
4,LSTM,2,0.5902369571557511,0.25,0.22383155266732754,0.8993214338397993,0.3584489651928504,0.3030467552376086,0.5188022813433293,0.5482521684743528,0.25188080837881693,0.19997554314596666,0.3738883435726166
4,LSTM,3,0.5883687414978542,0.25,0.21760201608994864,0.9935093671632984,0.35701033660217335,0.2252171691364333,0.5032153691887906,0.537008749311155,0.23712937011358606,0.1999959238576611,0.4438192546367645
4,LSTM,4,0.5868987481902749,0.2,0.21797401072831918,0.9860598908393569,0.3570255437903086,0.23107754215636178,0.5042597175633217,0.5423377815456724,0.24834046319516154,0.19993478172257775,0.3687988817691803
5,LSTM,1,0.6011112958042417,0.05,0.2156793868752994,1.0,0.3548293887414957,0.2156793868752994,0.5,0.5122054047878496,0.21335504885993486,0.19999185700907943,0.4733932614326477
5,LSTM,2,0.5955854347909021,0.05,0.2156793868752994,1.0,0.3548293887414957,0.2156793868752994,0.5,0.522838171848142,0.21957358602309743,0.20003257196368227,0.47434160113334656
5,LSTM,3,0.5943423134006866,0.3,0.21659343499612302,0.9925969795676636,0.35559327427995546,0.22407791793070414,0.502670380179174,0.529249610727297,0.2251998815516731,0.19970685232685967,0.4600144922733307
5,LSTM,4,0.5935671632033763,0.25,0.21619191367738205,0.996742671009772,0.3553162853297443,0.21989461919208048,0.5015063870093036,0.5258967727967003,0.2204619484749778,0.19991042709987378,0.46139851212501526
